record_date,debt_outstanding_amt,fiscal_year,fiscal_calendar_note
1888-07-01,1692858984.58,1888,FY ends Jun (Jul-Jun)
1889-07-01,1619052922.23,1889,FY ends Jun (Jul-Jun)
1890-07-01,1552140204.73,1890,FY ends Jun (Jul-Jun)
1891-07-01,1545996591.61,1891,FY ends Jun (Jul-Jun)
1892-07-01,1588464144.63,1892,FY ends Jun (Jul-Jun)
1893-07-01,1545985686.13,1893,FY ends Jun (Jul-Jun)
1894-07-01,1632253636.68,1894,FY ends Jun (Jul-Jun)
1895-07-01,1676120983.25,1895,FY ends Jun (Jul-Jun)
1896-07-01,1769840323.4,1896,FY ends Jun (Jul-Jun)
1897-07-01,1817672665.9,1897,FY ends Jun (Jul-Jun)
1898-07-01,1796531995.9,1898,FY ends Jun (Jul-Jun)
1899-07-01,1991927306.92,1899,FY ends Jun (Jul-Jun)
1900-07-01,2136961091.67,1900,FY ends Jun (Jul-Jun)
1901-07-01,2143326933.89,1901,FY ends Jun (Jul-Jun)
1902-07-01,2158610445.89,1902,FY ends Jun (Jul-Jun)
1903-07-01,2202464781.89,1903,FY ends Jun (Jul-Jun)
1904-07-01,2264003585.14,1904,FY ends Jun (Jul-Jun)
1905-07-01,2274615063.84,1905,FY ends Jun (Jul-Jun)
1906-07-01,2337161839.04,1906,FY ends Jun (Jul-Jun)
1907-07-01,2457188061.54,1907,FY ends Jun (Jul-Jun)
1908-07-01,2626806271.54,1908,FY ends Jun (Jul-Jun)
1909-07-01,2639546241.04,1909,FY ends Jun (Jul-Jun)
1910-07-01,2652665838.04,1910,FY ends Jun (Jul-Jun)
1911-07-01,2765600606.69,1911,FY ends Jun (Jul-Jun)
1912-07-01,2868373874.16,1912,FY ends Jun (Jul-Jun)
1913-07-01,2916204913.66,1913,FY ends Jun (Jul-Jun)
1914-07-01,2912499269.16,1914,FY ends Jun (Jul-Jun)
1915-07-01,3058136873.16,1915,FY ends Jun (Jul-Jun)
1916-07-01,3609244262.16,1916,FY ends Jun (Jul-Jun)
1917-07-01,5717770279.52,1917,FY ends Jun (Jul-Jun)
1918-07-01,14592161414.0,1918,FY ends Jun (Jul-Jun)
1919-07-01,27390970113.12,1919,FY ends Jun (Jul-Jun)
1920-07-01,25952456406.16,1920,FY ends Jun (Jul-Jun)
1921-06-30,23977450552.54,1921,FY ends Jun (Jul-Jun)
1922-06-30,22963381708.31,1922,FY ends Jun (Jul-Jun)
1923-06-30,22349707365.36,1923,FY ends Jun (Jul-Jun)
1924-06-30,21250812989.49,1924,FY ends Jun (Jul-Jun)
1925-06-30,20516193887.9,1925,FY ends Jun (Jul-Jun)
1926-06-30,19643216315.19,1926,FY ends Jun (Jul-Jun)
1927-06-30,18511906931.85,1927,FY ends Jun (Jul-Jun)
1928-06-30,17604293201.43,1928,FY ends Jun (Jul-Jun)
1929-06-29,16931088484.1,1929,FY ends Jun (Jul-Jun)
1930-06-30,16185309831.43,1930,FY ends Jun (Jul-Jun)
1931-06-30,16801281491.71,1931,FY ends Jun (Jul-Jun)
1932-06-30,19487002444.13,1932,FY ends Jun (Jul-Jun)
1933-06-30,22538672560.15,1933,FY ends Jun (Jul-Jun)
1934-06-30,27053141414.48,1934,FY ends Jun (Jul-Jun)
1935-06-29,28700892624.53,1935,FY ends Jun (Jul-Jun)
1936-06-30,33778543493.73,1936,FY ends Jun (Jul-Jun)
1937-06-30,36424613732.29,1937,FY ends Jun (Jul-Jun)
1938-06-30,37164740315.45,1938,FY ends Jun (Jul-Jun)
1939-06-30,40439532411.11,1939,FY ends Jun (Jul-Jun)
1940-06-29,42967531037.68,1940,FY ends Jun (Jul-Jun)
1941-06-30,48961443535.71,1941,FY ends Jun (Jul-Jun)
1942-06-30,72422445116.22,1942,FY ends Jun (Jul-Jun)
1943-06-30,136696090329.9,1943,FY ends Jun (Jul-Jun)
1944-06-30,201003387221.13,1944,FY ends Jun (Jul-Jun)
1945-06-30,258682187409.93,1945,FY ends Jun (Jul-Jun)
1946-06-28,269422099173.26,1946,FY ends Jun (Jul-Jun)
1947-06-30,258286383108.67,1947,FY ends Jun (Jul-Jun)
